rank,row_id,display_name,version,country,developer,official_org,total_downloads_30d,total_downloads_all_time,momentum_score,momentum_rank,parameters,parameters_source_repo,repo_count,complete,delta_downloads_30d
1,mistral-7b-v0.3,Mistral 7B v0.3,0.3,FR,Mistral AI,mistralai,4225547,53794655,0.078404,12,7248023552,mistralai/Mistral-7B-Instruct-v0.3,2,True,-55053
2,mistral-7b-v0.2,Mistral 7B v0.2,0.2,FR,Mistral AI,mistralai,1223998,62243010,0.019633,50,7241732096,mistralai/Mistral-7B-Instruct-v0.2,1,True,8861
3,mistral-7b-v0.1,Mistral 7B v0.1,0.1,FR,Mistral AI,mistralai,712545,44921583,0.015827,62,7241732096,mistralai/Mistral-7B-Instruct-v0.1,2,True,-4475
4,apertus-8b-2509,Apertus 8B (2509),2509,CH,swiss-ai,swiss-ai,690032,3478319,0.192837,1,8053338176,swiss-ai/Apertus-8B-2509,2,True,9703
5,mixtral-8x7b-v0.1,Mixtral 8x7B v0.1,0.1,FR,Mistral AI,mistralai,648047,31906948,0.020247,45,46702792704,mistralai/Mixtral-8x7B-Instruct-v0.1,2,True,-22710
6,ministral-3-3b-2512,Ministral 3 3B (2512),2512,FR,Mistral AI,mistralai,576245,5126353,0.110258,7,4251743232,mistralai/Ministral-3-3B-Base-2512,7,True,15481
7,mistral-nemo-2407,Mistral NeMo (2407),2407,FR,Mistral AI,mistralai,555955,15659205,0.035278,32,12247782400,mistralai/Mistral-Nemo-Base-2407,3,True,-3075
8,bielik-11b-v3.0,Bielik-11B v3.0,3.0,PL,SpeakLeash / ACK Cyfronet AGH,speakleash,495729,3897067,0.124023,5,11339190972,speakleash/Bielik-11B-v3.0-Instruct-awq,8,True,-20675
9,ministral-8b-2410,Ministral 8B Instruct (2410),2410,FR,Mistral AI,mistralai,417232,8249198,0.049973,23,8019808256,mistralai/Ministral-8B-Instruct-2410,1,True,8048
10,ministral-3-14b-2512,Ministral 3 14B (2512),2512,FR,Mistral AI,mistralai,331589,2913737,0.110026,8,13945032240,mistralai/Ministral-3-14B-Instruct-2512,6,True,9275
