rank,official_org,developer,country,total_downloads_30d,total_downloads_all_time,momentum_score,momentum_rank,model_count,complete,top_model_row_id,top_model_display_name,top_model_downloads_30d,top_model_downloads_all_time,top_model_overall_rank,rank_by_top_model
1,mistralai,Mistral AI,FR,9807164,287983913,0.034043,6,30,True,mistral-7b-v0.3,Mistral 7B v0.3,3941271,54097059,1,1
2,swiss-ai,swiss-ai,CH,766532,4007957,0.186597,1,7,True,apertus-8b-2509,Apertus 8B (2509),691891,3533974,3,2
3,speakleash,SpeakLeash / ACK Cyfronet AGH,PL,485201,6017958,0.079308,2,12,True,bielik-11b-v3.0,Bielik-11B v3.0,438368,3919964,8,3
4,utter-project,utter-project,EU,132574,1818621,0.069099,4,11,True,eurollm-9b-instruct,EuroLLM-9B-Instruct,42719,455788,21,4
5,BSC-LT,BSC-LT,ES,37113,1304888,0.026417,11,5,True,salamandra-7b-instruct,Salamandra 7B Instruct,25480,637490,27,5
6,PleIAs,PleIAs,FR,22731,374273,0.047928,5,11,True,pleias-1.2b-preview,Pleias 1.2B Preview,5570,62402,47,10
7,INSAIT-Institute,INSAIT,UA,15813,522338,0.025409,13,13,True,mamaylm-gemma3-27b-v2,MamayLM Gemma 3 27B v2.0,2384,6621,67,17
8,mii-llm,mii-llm,IT,13419,343592,0.030251,7,14,True,maestrale-chat-v0.4,Maestrale Chat v0.4,4144,144256,55,13
9,CYFRAGOVPL,CYFRAGOVPL / PLLuM consortium,PL,12784,359607,0.027815,10,10,True,pllum-4b-2512,PLLuM 4B (2512),3099,6049,61,15
10,openGPT-X,openGPT-X,DE,10441,843557,0.011066,18,3,True,teuken-7b-v0.6,Teuken 7B v0.6,6524,663934,43,8
11,Soofi-Project,Soofi Project,DE,8520,19750,0.071148,3,4,True,soofi-s-isar-preview,Soofi S Isar Preview,5938,10616,44,9
12,ilsp,ILSP,GR,8391,182463,0.029707,8,3,True,llama-krikri-8b,Llama-Krikri 8B,7490,100080,39,6
13,LumiOpen,LumiOpen,FI,7475,407667,0.014724,16,6,True,llama-poro-2-8b,Llama-Poro 2 8B,3265,41024,57,14
14,cjvt,"CJVT UL (Center za jezikovne vire in tehnologije, University of Ljubljana)",SI,7186,177500,0.025895,12,6,True,gams3-12b,GaMS3 12B,4741,59650,52,11
15,sapienzanlp,SapienzaNLP,IT,6653,128348,0.029135,9,1,True,minerva-7b-v1.0,Minerva 7B v1.0,6653,128348,42,7
16,occiglot,occiglot,EU,5458,687884,0.006927,21,2,True,occiglot-7b-bilingual,Occiglot 7B (bilingual),4244,366620,54,12
17,Almawave,Almawave,IT,5395,145191,0.022003,14,2,True,velvet-14b,Velvet 14B,2798,62101,63,16
18,OPI-PG,OPI-PG,PL,4525,482224,0.007772,19,3,True,qra-1b,Qra 1B,1575,155800,91,21
19,Voicelab,Voicelab,PL,3283,653254,0.004358,23,2,True,trurl-2-7b,TRURL 2 7B,1704,299361,84,20
20,TildeAI,Tilde,LV,2585,100124,0.012917,17,4,True,tildeopen-30b,TildeOpen 30B,1850,97579,80,19
21,LeoLM,LeoLM,DE,2123,1156387,0.00169,25,4,True,leo-hessianai-7b,LeoLM HessianAI 7B,1513,798943,92,22
22,domyn,Domyn,IT,2067,6150,0.019472,15,1,True,domyn-small-v1.0,Domyn Small v1.0,2067,6150,76,18
23,croissantllm,croissantllm,FR,1855,149932,0.007422,20,2,True,croissantllm-base,CroissantLLM Base,957,55722,105,23
24,openeurollm,openeurollm,EU,684,1823,0.006718,22,1,True,openeurollm-prelude,OpenEuroLLM Prelude,684,1823,109,24
25,Aleph-Alpha,Aleph Alpha,DE,497,75479,0.002832,24,1,True,pharia-7b-control,Pharia-1-LLM-7B-control,497,75479,117,25
